advertiser_id	party
102801508112566	Die Grünen
249634765199818	CDU/CSU
204593426953125	AfD
684738688553775	AfD
110017283988997	FDP
101112621437274	FDP
140835099309889	SPD
1906179006074575	CDU/CSU
302540573168231	Die Grünen
141395232626661	Die Grünen
69404712263	SPD
724327597599949	Die Grünen
126977950715783	Die Grünen
335194336586638	Die Grünen
2174311592850349	Die Grünen
616309275082956	CDU/CSU
661587470556698	Die Grünen
302077876517632	Die Grünen
148282971883063	Die Grünen
214406888691887	Die Grünen
666552933381264	SPD
194900680538033	SPD
112562615494117	Die Grünen
111756477026245	SPD
434386943980697	CDU/CSU
615785595235903	AfD
102083991340817	CDU/CSU
103573331391814	Die Grünen
945204268844750	AfD
102419134887228	AfD
1409546049300997	AfD
1890824571150959	Die Grünen
100374258395193	SPD
210443762301233	Die Linke
246658235481414	CDU/CSU
297260116978671	FDP
148048445345481	SPD
453709631424236	AfD
199582526743398	CDU/CSU
244126575764494	FDP
114060243730639	SPD
141251991603	SPD
284528141605084	FDP
490278817998103	SPD
461354211356725	CDU/CSU
552695711422350	SPD
103325004765281	CDU/CSU
109539777635686	FDP
315825775225774	SPD
102930484807691	FDP
100195701790183	AfD
102768571653125	CDU/CSU
1252042801517541	CDU/CSU
772373066216634	Die Grünen
1627212914262311	AfD
616311888552136	SPD
147620922532	FDP
754165398004829	SPD
587636995066788	CDU/CSU
991040377616055	FDP
116585021719637	FDP
739299322772542	FDP
145714592906780	SPD
1491699237825651	CDU/CSU
1681449658753246	Die Grünen
186504638060219	FDP
103511667938848	SPD
135790286632177	CDU/CSU
104381463046213	Die Linke
100266881635663	SPD
635125279835982	Die Linke
111673000446664	CDU/CSU
165565646860776	CDU/CSU
1633118270263659	AfD
443522133126069	AfD
202215676478081	FDP
2351643908244753	CDU/CSU
706620716037283	FDP
118472071697130	CDU/CSU
220043621459084	CDU/CSU
100643570087424	CDU/CSU
204261220053348	CDU/CSU
287555251337661	SPD
1443785129199112	AfD
477830295562771	CDU/CSU
833157910040047	FDP
1161840337287890	CDU/CSU
1595631434033569	Die Grünen
1886093808339186	CDU/CSU
356985227719794	SPD
126525857429764	Die Grünen
1775217669435087	FDP
196803203676047	Die Grünen
1477347775705985	Andere Parteien
614302158913896	FDP
1954784601310822	CDU/CSU
735949676445695	SPD
1111588755602889	AfD
226018367465596	CDU/CSU
343904723087264	FDP
391998061384438	CDU/CSU
131458137929	FDP
1819425944973592	Die Grünen
100875431937025	Andere Parteien
619302128101416	CDU/CSU
122991961225029	Die Linke
501380493240659	Die Grünen
1499838286989553	SPD
345598788891061	AfD
1414419275507766	FDP
111826602193280	SPD
376276470032	CDU/CSU
248682761398	SPD
192353471499193	CDU/CSU
364927200545718	SPD
450117841778894	CDU/CSU
1325396230840080	Andere Parteien
